rewardsSnapshot0
"[ 9.98879115 49.97507017  9.98390168 ... 59.94401099 49.97532372
  9.98266929]"
"[199.89950494  69.91219089 169.87617716 ...  29.96725462  39.95911476
  69.94552378]"
"[ 59.95820869 209.91358979   9.98278397 ... 359.83903806 289.92272406
 149.8720025 ]"
"[159.94058124  19.96795945  49.92378629 ... 189.94301903  49.96264208
 559.66398031]"
"[ 39.93347035   9.98457514  99.85604029 ...  59.93139178  39.93911851
 479.85623937]"
"[179.83933608   9.98407838 429.83775062 ...  29.97586892 319.87238431
  79.91270808]"
"[ 59.93628213 229.79903041  69.93224302 ...  79.94919699 109.89873345
   9.97943176]"
"[ 59.93730679 109.90253381  99.94546413 ... 379.73883301 279.84688926
  79.86248837]"
"[ 39.93508039 529.81238293  29.95422904 ...  69.94046747  39.95394605
 439.75681657]"
