rewardsSubIter0
"[ 39.92785607  39.92478527  19.9803632  159.90616693  19.96965668
 109.95708188 119.94712667 129.91532288 119.88816523  99.94146703]"
"[259.89076513 139.88658822 289.83973725  39.9665534  279.80905524
 169.87011651  49.94417602 119.93605473  19.96957693  29.95618372]"
"[139.94540041  19.96800671 139.93715683  19.96466867 169.846144
  39.95266779  69.95045582  39.9600014   99.92876169  39.95828798]"
"[ 39.94457523  39.9742706  149.91267634  19.97357517 129.8802418
  39.96216933  79.92725406 149.93728697 139.96849639 179.88961705]"
"[129.93246274 129.86158323 219.95007966 169.95781256  39.95416238
  49.93717847  19.97557147  39.94857995  19.97476229 129.91331898]"
"[ 99.89068774 219.94624808  19.96522682  49.9628455  249.88836097
  29.9620646  189.8754542   59.9689347   59.93195213   9.98335619]"
"[ 59.92684711 419.78836051  19.97367605  39.94509422 199.80832988
  89.91902185 159.89056599  49.93359838  89.96155161  19.97554234]"
"[229.90030159  49.92181635 129.95602244  69.96469645  59.94974758
 209.91580463 429.88611918 129.9122818   99.96229398 169.95391618]"
"[ 99.86257781 209.84304718 189.90644727  59.96833373 179.8758689
  19.96042088 279.82511198 159.93980354  49.95597755  89.91541292]"
"[179.87716584 429.78982012 329.90010591 159.90969745 179.88712758
 379.86144319 159.91946088  99.89938978 209.85423346  49.93889956]"
"[279.90217781 169.94301335 109.88112511 159.93977782  89.89976866
  59.93027688  79.91967124 159.8942323   19.96838571  79.9383316 ]"
"[ 39.93776089   9.98679137  79.92364853  49.9528941  509.67510605
  59.95373493 289.87396174 249.91204449 259.88110195  19.9749591 ]"
"[ 69.96002588  89.89411744 159.95827858  29.96570486  59.91939784
  49.96393832 209.88066439  39.9572977  449.85992249  99.93777974]"
"[ 99.96051208  49.93952945 209.89111553 209.90512447  59.92316985
  39.97667356  59.95454637  79.96350682  29.94787251 319.82904124]"
"[219.90616611  19.96397798  29.98459145 119.89376156  59.94557124
 279.82320064  19.97063479  29.95730434 119.90647082  29.9769052 ]"
"[149.86066639  29.96774185 459.77457828 109.87658792  59.93376215
 379.89790667  59.96464833  39.93181417  79.91240311 139.88970221]"
"[ 29.95029851 139.90329044   9.98594951  59.89868483 109.96840235
  89.92793131  49.94493881  79.88712101  69.93401663 149.93520483]"
"[ 49.95611839  49.95012507  59.94538548  29.95253041 189.85021117
 369.84089432 109.9417808  159.9447197  349.84662137  69.94910036]"
"[199.93619735 169.9351486   89.9422798    9.98183316   9.98173098
   9.98376612 389.88609835  89.92572832 179.91526432 449.81001401]"
"[129.92168558 149.86759587  19.96768135  39.94926975 109.97252824
 139.90106866 279.86915545  49.94624555  49.94539199 249.87858782]"
"[279.92294513  59.93112232  89.93664656  99.85149904  59.89350086
 299.86397801  39.95405004  49.91398627  49.93734618 109.90987507]"
"[179.86134382  19.97796461  49.93686515  79.86948265 129.93020589
 389.8664177    9.98430025 239.8655361  239.74986538 329.85964853]"
"[159.94923555 119.9222902  499.83485123 179.82895297 389.85193342
 379.79365041 149.88769059  59.90955325  79.94079345 309.81596121]"
"[149.83271428 139.86786747  79.92118027  79.96109345 579.87836801
 369.83610572 109.94791136  49.95597995 289.84240791  39.95059241]"
"[ 29.96569914 139.91083713 239.84973657 219.80306106  19.9676193
  79.88541397  39.94706551  69.89298269 429.93424469 289.66035422]"
"[ 99.92153494 129.9238089   29.97333524 169.91294081  29.94432754
 189.87952363 389.87968161  69.94483535 239.87645552 169.88881701]"
"[ 49.96948495   9.98532542  39.95899412  89.87096318 249.86434954
  39.97250348  29.96796996 119.97556462 359.77060896 379.75943522]"
"[349.8424648   29.96598514 149.88837152  89.9563504  229.92401788
  89.92536163  49.92293916   9.98215688 129.93438404 209.78379907]"
"[ 79.9567587   89.92675507 419.8127746  149.82838618  19.96714491
  89.95581546  29.9641561  289.92687075 189.7946795  159.89032314]"
"[529.75443726 299.93546346 199.83265701 149.833139   199.84492558
  29.96753862  69.96409093 179.87824995  59.92964107 109.96405976]"
"[159.91686517  79.89551316 159.80923626   9.98378863 219.88075055
 189.87142876  49.93569206   9.98184327  49.92586275 109.84546991]"
"[  9.98805569  79.88832946  29.96302117  49.94325433   9.98460659
 289.88900288  39.96985993  89.95081574  69.93815543 369.88801223]"
"[159.93030891  59.91149917 229.84153458  59.92586737  49.94793964
  49.95553782  59.94192634  49.94731644 149.81898282 229.87861661]"
"[199.90385224  79.95101132   9.98620443  99.9292767  409.71286598
 389.81683315  19.9682814  299.82230408 109.8599118  139.88174196]"
"[109.9346213  139.89532831 369.81540348 139.96004929 149.82353697
  59.94608037  49.92985308 329.7494456  399.85718121   9.9865587 ]"
"[159.85323575 349.71618468  59.93184507  49.94282091 129.89988972
 179.89870698 219.92224275  79.95053924   9.98178579  19.96879217]"
"[119.89375792 119.906561   129.9410179   59.95750086  69.92780439
 309.86785693 139.88180796 389.91059714 249.73209631 419.8374134 ]"
"[729.70269655 499.86532295 109.88032866 219.85669553 299.8064429
 189.90878951 439.74456263  19.96029941 159.80976745 359.80999868]"
"[  0.         169.82610314 399.82229037 299.87791719  89.88630356
 379.76139157 279.77997297  29.9695331  119.91950331   9.98583796]"
"[ 89.90271708  79.92282675 209.8228988   59.97333484  49.94497946
   9.9802564   49.92694518 239.87204768  99.90392039 199.92351051]"
"[149.89544381 149.93437166  79.88083309 329.88781216 189.78232774
  99.90776308  99.91184024  19.97241954 439.90771305 479.81600557]"
"[319.86123182 149.9491427   29.95087339 129.87059402  19.97527259
 149.83895136  69.92227887 199.83921217 189.89910796 259.81237069]"
