MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,TotalAverageReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
289.9147211040905,100960,40,1,84.70814329653642,9.981328263699407,65.79955487409462,86.76122202413468,1.411977267638315,0.99306290791758,4.104062216167041,0.25077943109756906,90.19491524484519
399.79566453402265,201920,32,2,105.04879132604769,9.981578810329182,99.65231448126842,107.3497508005178,1.4049229356746618,0.9860821636967712,4.0752126756505955,0.11847076035114112,115.24044631500206
349.8850514502699,302880,27,3,125.84352993915549,0.0,92.86769699541829,122.17717693505658,1.3973095301037648,0.9786032264751643,4.044304237299345,0.4230003352563003,138.06276706664792
409.92161368303243,403840,22,4,156.4283820111554,19.96408502436332,98.51131497660799,143.9108545250326,1.390918353384381,0.9723687443767398,4.0185387976544735,0.07111881479961835,173.98005642617088
439.79190446613785,504800,24,5,142.5680905200353,9.979604108279414,117.88121830385722,154.53037931670195,1.386144571013817,0.9677379296522926,3.9994008844476165,-0.5467462731192869,159.8857191509314
699.6687979948518,605760,18,6,187.4732766191056,19.961987317303077,211.2457494253344,188.85468129619161,1.3828571161069885,0.9645617584672088,3.9862746222049585,-1.6467737780721343,227.64709984021263
669.8098242171612,706720,16,7,202.55321692758298,19.978050456483096,186.0692991678617,257.0231701550356,1.3784587073222125,0.9603285380967943,3.9687798596512387,0.19288948098348357,241.7447561956393
999.6306080895729,807680,11,8,279.48838623681974,19.96006164733841,279.24641440883863,293.8943948227615,1.3720216106031418,0.9541666639818529,3.9433144892962617,-0.5334864674746564,362.5748205310617
739.7840158309398,908640,11,9,298.8057353963746,0.0,242.39926846146932,335.0715860293205,1.3649491500370698,0.9474421652830769,3.915523942683077,0.42144262702891777,383.43264560957107
989.6975902809573,1009600,8,10,393.0353678690851,39.93490520788269,259.69173685065897,355.44011448675826,1.35675671270025,0.9397120123452241,3.8835772972646505,0.602035897873793,531.003369323709
849.7098344994022,1110560,10,11,305.40397238341353,29.960674260972393,279.99221485979706,351.2753029404581,1.3470191177171886,0.9306058852112772,3.845944120143563,0.1405047849413611,400.78564676652525
929.7777058308849,1211520,7,12,425.1190434281121,9.980716666780415,270.5086028766189,464.85534566180377,1.3399177506086626,0.9240207206961918,3.818729404280017,0.5627018248789747,591.209240789277
999.6219015219472,1312480,5,13,593.1861825844687,759.8154187223971,94.38653908419545,504.57107462119507,1.3325148408949237,0.9172055359503255,3.7905640765966373,0.504026405566065,899.6207765644855
999.5639145322456,1413440,7,14,421.21206472526006,9.981289898123256,375.5545164708422,503.45839612570205,1.3245097661484608,0.9098925466422556,3.7603414563908117,0.1969223253776926,616.8286535909916
999.8500927677425,1514400,6,15,518.9190651030185,0.0,365.7323515349367,556.5406175835928,1.3184090227004632,0.9043584239459007,3.737470414006025,0.8504273715050985,809.7542909167397
