nSubIter0
28
1
52
28
1
140
12
104
1
1
1
1
39
52
147
33
27
1
1
15
1
1
11
37
66
25
1
8
5
1
13
9
1
1
33
1
72
1
1
1
1
1
7
7
21
94
72
1
14
16
40
43
12
1
1
1
1
84
42
1
1
4
1
2
4
1
4
5
1
6
4
1
5
4
1
8
9
1
12
5
1
1
3
1
4
4
11
15
13
1
4
32
1
2
1
35
1
3
1
1
1
3
1
1
1
10
5
16
2
1
4
2
2
3
8
4
1
1
41
16
0
0
0
