nSubIter0
1
73
123
12
16
42
32
14
38
21
6
22
8
1
5
2
3
1
1
3
1
1
1
1
2
2
3
2
1
1
1
4
1
1
1
1
3
3
1
2
1
3
1
1
3
1
1
1
1
1
1
4
