MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
819.7529336565956,50480,12,10,272.42525432867194,49.94137777669914,203.43138672500078,1.337967784297483,0.9222206670123962,3.8112902659818886,0.288032357658379,336.4461095216666
999.8227887090604,100960,6,20,466.2677502970305,9.981247134630925,408.6577736246047,1.2855775829100977,0.8751491497490586,3.6167563307015747,0.49934179553729297,716.3943615350877
999.8351725685055,151440,5,30,620.0968386303181,829.5123671155682,68.06978606371112,1.2481217175253962,0.8429759793109799,3.4837932604706014,0.7750001194550594,965.6518026858505
999.8753559375917,201920,5,40,625.2370225761476,889.6531425670188,44.04054326320313,1.2266845173283298,0.8250972540680533,3.4099052920874175,0.9772479906678613,977.7341047445067
999.7960920118301,252400,4,49,633.8108773347636,999.7273563024122,0.02646864821953441,1.2115655011971955,0.8127164241953969,3.358738648282633,0.9999995264561089,999.7620915313788
