rewardsSnapshot0
"[119.8935769   69.97551455  29.98016522 ...  89.94173671  49.97475213
  39.98507504]"
"[ 59.95530029 119.90991166  89.96530701 ...  99.85331487  79.93867633
  29.98146352]"
"[139.96072897  89.9330778   49.93249303 ...  89.9281058  179.92507346
  79.97009573]"
"[ 89.95718185 179.86624462 369.83435413 ...  69.95765716 129.88356277
  69.88752334]"
"[119.87477068 139.94283693  59.95947784 ... 119.95255986 109.95223569
 109.95434279]"
"[179.82050113  49.95818488 249.92025139 ... 109.89721694 239.91245271
 199.90050744]"
"[ 69.93293128 129.94028869 159.83845799 ... 109.95296955  69.90052707
 129.92972332]"
"[159.88616199 139.90133566 179.85791649 ... 179.81106196 319.78970569
  79.88889345]"
"[159.8019422   39.96539448 129.90689043 ... 259.90181641 199.84822207
  99.923518  ]"
