MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,TotalAverageReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
809.6529024280179,50480,16,5,202.44622946198348,29.943426235882704,238.54107516198053,180.76907714784048,1.3860611621117074,0.967657215060255,3.9990673127223677,-2.1372105554107192,251.1153912354281
999.8028755616747,100960,5,10,560.4966965414058,579.7592182725447,162.76794108309323,456.89366497906974,1.355519660378525,0.9385502581421187,3.878776079243695,0.7204008864436511,831.747560369425
659.7333360782296,151440,11,15,313.61728722869435,29.967783909660724,197.48919971920384,327.82242909945023,1.3290902972008012,0.9140698976455972,3.7776053258594975,-0.12282491262329365,394.34284661134365
999.7385917791559,201920,12,20,296.16351777300866,49.91607505871854,334.21642566999907,332.89037403658233,1.284931049833386,0.8745835197456463,3.6144187338516383,0.15753246369111507,400.6142434753662
999.7080149656355,252400,5,25,579.4299572930306,559.7799775957083,172.04558154432513,585.2318574338486,1.2247258203454991,0.8234827202733838,3.4032328576518953,0.7195031070746711,877.7132534752822
999.8289283195146,302880,4,30,633.7984887953972,999.566635293118,0.09971446418912047,602.1651829080971,1.235823012677448,0.8326719594771126,3.4412095146296773,0.8761843238978243,999.7292958841778
999.8650335776598,353360,5,35,564.4125200243807,429.7946695375075,220.8731170020245,595.5323123847237,1.2414677960660214,0.8373855032731023,3.4606893248643926,0.6411699130238347,853.7614339488407
999.7944134368088,403840,4,40,633.8059122171157,999.7374544103632,0.02327149270916518,618.3961388909185,1.1471190111547975,0.7619917713935884,3.149107285221622,0.9999993397227114,999.7735258607594
999.8985063431571,454320,4,45,633.8753702523188,999.8325947957853,0.023322566693765357,633.8747142955763,1.054337558346173,0.6944737080675403,2.870073267944435,0.9999995281910243,999.8660156922269
999.8967740428786,504800,4,49,633.8927480406746,999.8669995252072,0.011150593650360183,603.9315349864597,1.0208085587433229,0.671574734424824,2.775437961593956,0.9999995530542466,999.884841660897
