rewardsSnapshot0
"[69.95587321 49.97572114  9.98366602 ... 19.96492229  9.98678935
 59.96916017]"
"[89.97513471 59.93874714 69.94127534 ... 99.92077163 39.96425974
  9.98469112]"
"[ 29.98244386 159.92308324  89.97864112 ...   9.98782598  29.9825804
  89.94426184]"
"[ 29.94806236 149.98301943  49.95204508 ...  39.96681728 119.92296874
   0.        ]"
"[  9.98591037  49.93176023 129.9184886  ...  39.97666114 179.92021454
  19.97731263]"
"[189.92646003 549.85351288 349.85175771 ...  19.96922791  69.94227706
   9.98552806]"
"[  9.98840011  19.97897076 319.81156562 ...  19.97056038 159.89811903
 269.77229981]"
"[109.9553058  949.56436439  39.9590312  ...  29.97023504 459.82869235
  39.95190469]"
"[ 29.95909819 589.78645356  19.97262912 ...  59.91631359 499.7336973
 129.83911406]"
