MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
619.8360773929137,10096,20,5,176.41377287155115,19.96610185536455,143.3638219384106,1.3803974821744693,0.9621922049478028,3.97648189408004,0.3335884510108008,202.89379072974418
999.7755603463364,20192,11,10,273.86910160569704,9.982111184631522,302.3647822751467,1.3492385520866839,0.932673597624591,3.854489420065373,0.34159046784566793,360.7681989512598
999.7452231014072,30288,6,15,473.5775173850557,9.981974460665798,341.44134407772316,1.322624026009567,0.9081783425247052,3.753257111286846,0.8424330062952257,704.685607763225
999.7767203244243,40384,4,20,633.7902561736056,999.7048113296959,0.028762426085596423,1.3180232169727264,0.9040095845824543,3.736028754631159,0.9821767478819785,999.7306984599658
999.8269036605103,50480,5,25,618.7724860081098,839.8204233277584,62.05934867638546,1.31232808916991,0.8988757672123566,3.7148120666194178,0.9156827201736313,961.7204664529936
999.8459462503088,60576,6,30,424.1863684956172,0.0,468.92642557076545,1.301973599632474,0.889616388285308,3.6765455410079024,0.9122281112308291,668.140468658487
999.8258540517666,70672,4,35,633.7775744537307,999.5082948077317,0.12655409249892874,1.2898579237210797,0.8789031147637894,3.632270459620233,0.9999993507314121,999.7070444962064
999.8504849836696,80768,4,40,633.8457623417437,999.7844426204388,0.030375596913906268,1.2852294378473823,0.8748445239234991,3.6154973940010104,0.8488532965417851,999.8167928229266
999.878319137794,90864,4,45,633.8265250824611,999.6429503202306,0.08836558770263638,1.2754308739929703,0.8663141648782449,3.580243711712764,0.9999991923018466,999.7903199123305
999.8596017076525,100960,5,49,630.8180811071209,959.7500018733239,16.01832876541127,1.2673164818598475,0.8593129955655409,3.5513097597786327,0.9965882217338558,991.7864204491761
