rewardsSubIter0
"[29.97107512  9.98629146 19.97352879  9.98439753 19.98670954 79.95794418
 29.96436905 89.98623849  9.98238793 89.9173044 ]"
"[ 29.96474311 129.96480552  19.97200968  69.94135231  19.97570667
  19.97827187  69.96780084  79.95824045 139.96136454  19.97860266]"
"[  0.          49.98134227  49.94851617  29.97759022  19.98403345
  19.97343979  19.98158505 159.96527248  29.96382635  49.98724285]"
"[ 69.95885985  89.97434828  49.95968078  19.97133823  69.94213759
  89.93034046  59.97038503  29.96470961  19.98269007 119.97272937]"
"[119.95056099  29.98243437 199.88856214  69.97775753  69.9602153
  69.94994057  19.96835114  49.97308036  99.95606792  49.9775921 ]"
"[ 99.97768321 119.89420519  69.95641404   0.          49.97828839
 109.94258909  19.97162788  29.98129782  39.97654361   9.97970007]"
"[89.86888273 39.97558561 29.96992633  9.98041749 39.9838036  89.950306
 59.97595584 39.97104911 29.980271   39.97100567]"
"[ 19.97432651  19.98668581  39.97033813  59.95265888  29.96332353
  59.96492285  39.95118671  49.97732384 139.90725972  29.97047809]"
"[ 19.96018987  39.98275656  59.93938932  29.97088562  99.91384873
 109.92116243  29.98185595  29.97796519  69.94245035  89.95509281]"
"[29.95506775  9.98075752  9.98847151 59.95428446 79.95118273  9.98681735
 19.9726522   9.98276226 69.96730872 99.92046745]"
"[39.9522234   9.98331489 49.96997112 79.9576372  79.97340208 19.98421603
 79.96154915 89.96797386 69.95088565 39.99019725]"
"[  9.9862301    9.9847538   39.97304495 199.83146197  39.96560697
  49.97239412  19.96845593  49.93726533  49.98191722  19.98621762]"
"[ 49.97983898  39.95717534 139.92458291  99.97374229  29.98055202
  59.96438391  29.95503688  59.95558511  49.96071107  59.96260054]"
"[ 89.95491323  29.96618733  29.98578611  69.98369861  49.98305267
 139.9371516   39.98017968   0.          39.96940853  29.98826331]"
"[29.97995399 49.98727394 49.98212572 79.96630992 29.97981388 59.97084144
  9.98208483 39.98104248 49.96699967 79.91869885]"
"[ 9.9875354  89.97707375 39.96844154 79.96693957 29.9769281  89.94831482
 79.92564028 59.91607666 29.97411209 29.96245033]"
"[ 59.94433697 119.92124755  99.88163315  19.98194278  19.98208469
  29.96803278  59.96715581  69.94736654   9.98415056  29.98181604]"
"[99.9003631   9.99064854 49.9462686   9.99007737 29.97574865 59.97137906
 29.9804544  49.97398171 19.97059142 59.96982498]"
"[ 39.98218595  59.96549213  49.96601428  49.97145169  79.87721122
  19.9656269   19.97417569 119.93392393  19.98143382  29.95679027]"
"[109.9449493   39.95898264  49.98829539  49.97923303  39.98433654
   9.98846477  19.96978769   9.98145395 129.93996972 249.94476516]"
"[99.95904788 29.96915056 69.96280172 29.97612143 39.98529995 29.98210008
 29.98727481 49.97787729 29.96538538 29.96477069]"
"[109.97277149  89.90934578  39.98379393  39.97034033  59.9874417
  49.97747366  89.98397293 269.84700094  49.97267042  39.96340541]"
"[ 19.98886464  39.98600881  39.9726742   49.98587933  59.97829097
  79.97653649 109.95447679  19.96329692  69.95755236 179.8825466 ]"
"[29.96948549 99.93536843 39.94436019 59.97064028 39.96058092 49.9854272
 49.96491323  9.98746381 79.93021798 39.95938382]"
"[ 29.96717444 129.90874689  59.9220434    9.98486466  59.9635515
 129.90573627  39.95387568  19.96436347  69.94667926   9.98685701]"
"[ 29.95440625  29.96405516  39.97372065   0.          29.97728279
  69.96721895  59.96327734 109.93801776 139.95017231   9.98228521]"
"[49.95676939 89.94733712 79.90796396 39.97142596 19.97062233 49.93677568
 29.98282728 49.95241153  0.         39.96376368]"
"[159.89588553  89.96354393  49.97965021  19.96948217  49.96120251
  39.98261601  29.96780893  49.96436615  79.95259127  49.97385844]"
"[ 49.98111047  69.94091973  39.97671623  59.97018132  49.93685998
  19.98006633 139.94975264  19.96395805  49.92779487  69.96192176]"
"[49.98063757  9.98515928 39.95835098 49.96651674 29.96542583 19.9642194
  9.9851104  89.9375228  49.97370921 19.97165506]"
"[ 9.97995008 99.93774291 29.94693839 79.93070703 59.96950726  9.98141768
 19.97265903 49.96010537  9.98487841 39.9777788 ]"
"[79.97475985 49.95409113 69.97041052 59.95948088 39.9750625  19.98298343
 59.96841143  9.98501978 59.94519732 39.97813389]"
"[ 9.99041309  9.98627478 39.96400651 69.93986075 89.95292763 29.96064872
 59.91782521 79.95026925 59.9655576  59.96216531]"
"[ 39.98108443  99.92797879  29.97349897  19.97157991   9.984265
  39.97924161  39.95741337  19.9775155   19.97876093 119.93886726]"
"[159.97491583  59.97851252   9.98603883  19.97012804  59.95699113
  39.97019548  29.97408108  59.97546051  39.96263042  39.9685979 ]"
"[ 69.95368756  49.96669391  19.97090233   0.         139.94639867
  19.9684563   79.98725042  49.97474058  19.97506699  59.97198133]"
"[  9.98572683  69.97550496  49.96656388  59.97158593  99.95057482
 149.95030798  19.97390605  79.95405128  59.94282423  39.94409522]"
"[109.96105301  69.95423805  29.9592135  129.95403745 119.93091445
 109.92668058 189.92442293  39.98193435  29.98343548  49.97513632]"
"[39.96862259 19.97416154 29.97375509 19.96840554 49.97763414 19.96543113
 49.96151975  9.98367089 19.97337221 69.95204247]"
"[159.92991948   0.          29.98160556  39.96053923  69.94672889
  79.97675791  39.97310138  59.94978807 149.85232729  49.96937332]"
"[59.97204962 39.98078663 99.9516277  29.96493179 29.98777115 59.91500218
 59.97246025 19.96890928 19.96781732 29.97117417]"
"[ 19.96090198 129.9621386   59.94862848  29.97173035  19.97935135
  39.96619784  59.98511092  19.98093111  49.96735175  29.95660316]"
"[ 89.97036504  89.94714873  29.96352221  69.97513052 159.93947778
  39.98161283  59.95351807  49.94788159  29.97838216  19.99175049]"
"[109.9156972   19.98419891  59.9565199   39.9865446   69.91768934
 199.9258205   69.94664666  19.97620384  59.97018583   9.98726546]"
"[49.96874633 59.95589129 29.97004916 19.97776602 79.91534117  0.
 29.97869047 59.9685863  19.97183817 39.96571861]"
"[  9.989812    29.984862    19.98279836 179.92027463  69.97031388
  49.95869339   9.98449585  69.92484013  99.94714989  99.97086768]"
"[79.95369668 19.96786449 89.92471038  0.         29.95243405  9.98954401
 59.96623382 19.97418215  9.98639985 79.96277057]"
"[ 39.95450743  89.94858834  99.91250122  19.96777944  99.96853925
 119.9609625   19.9829268   19.97943779  89.94056753  49.96628529]"
"[ 49.96575575  49.92335141  59.96659656   9.98469154   9.99001973
  39.98158564 159.89319855  29.96055233 109.95122861  89.95351955]"
"[  0.          19.98295628 149.88470691  59.93612117  49.96412453
  49.93784581 129.95628497  39.95924314 149.86675629  19.97036865]"
"[ 39.970435    69.96778663  59.95913932 139.96546486  49.92897947
 109.96099707  89.9051044   69.95964493   9.98379692  89.97898436]"
"[19.96464511 39.94629733 59.96964217 29.97087097 69.9625085  29.95226346
  9.98602565 79.95846764 39.95220985 89.95842284]"
"[219.86350996  19.98318209  99.97080184  39.98227646  39.98029032
  59.96092145  49.97621817   9.98310212  49.97484079  19.9825438 ]"
"[ 59.93739071 129.93029915  49.96731698  49.94006537   9.9810142
  89.9026909   29.96543852  99.89669846 109.97435311  59.96777187]"
"[ 39.98287444  59.96121589  19.97180723  19.96643207 119.94407872
  89.98074162  49.97056525  29.95837052  99.97433964  59.96538604]"
"[ 69.97568115  19.99129067   9.98368823 129.95826378   9.97937053
  59.97343056  19.96490392  29.95617038  19.96407674 119.94143883]"
"[  9.98804052  59.91310934  39.96148362  19.97457674 139.97189347
  39.9680881  109.94403872  69.97103086  69.9556671   29.95179659]"
"[109.88294384  59.93731954  49.93546422  39.974389    79.94298848
  39.9781238   39.9747006    9.98597427   9.99123992  59.95987877]"
"[ 59.94429731  29.95607139   0.          49.9451683   59.93142751
  19.97908735  29.95785014   9.98605036 179.95883154   9.98068357]"
"[ 19.9764172   19.97073535   9.98727263  39.96162036  79.97762041
  59.96946185 129.95713496  29.95255279  39.96701819   9.98021529]"
"[139.95902254  29.98300163  39.96078094  59.94953256  99.96570351
   9.98665049  39.94426112  39.95701718  39.93960942 159.91895119]"
"[  9.98646591  19.97166067 119.96536404   9.9808434   59.93170069
  19.96511671 259.90804132 129.95663714  79.95175144  59.92179561]"
"[479.92353087 119.94168203 139.9506889   39.95572217  49.96865601
   9.98121813  59.97160215  29.98471313  59.97689225  79.97095002]"
"[  9.98176904  49.94653298  29.97066409 109.97986818  39.96294372
 119.95705801 149.90134175  29.96712608  79.97672525  29.96316997]"
"[ 49.95372966 299.90349329   9.98616836 219.93213023   9.98671438
 169.88381795  29.96047579  79.95650417 179.89572122  89.93729116]"
"[ 49.98190478   9.98111784  39.98213646  39.97286326  59.96614148
  79.94877495 239.84226652 109.95408744  29.98361466 179.89327734]"
"[179.95210469  99.90537677  49.98942511  29.9628383   19.97733962
   9.98424479 159.86605121  29.96785534  39.96737721  69.96533805]"
"[ 59.93057576  89.94292624  69.93939132 149.93474367   9.98105407
  29.97187207  49.94588551  89.9707587   19.97386955   9.98329506]"
"[199.89722656  39.96327603  39.98489905  29.98359954 259.96772972
  39.98131753  79.96639099  99.95069028  89.96765845  69.91728843]"
"[ 69.93861648 139.93105649  39.94076266  69.9404235    9.98721977
  39.96784592   0.          59.91297678  39.96640981   9.98197318]"
"[159.967961    49.98528341  79.96583495  39.97645078  19.9751832
 259.87446233  59.94583644  89.94891374  69.9497306   59.9270815 ]"
"[ 19.97049682 109.90747832  39.98952527  19.98587643  69.92043228
  49.97502397 169.91387094  69.97687951  69.93085861 159.91466585]"
"[59.96018586 69.95180296 19.97698931 39.98686523 19.98013829 99.92899929
 79.93908187 59.9751153  59.97627296  9.98122517]"
"[  9.98257733 179.89234038  49.96312263  19.96862306  29.96302116
  89.96749924  79.96414386  29.96876635  59.92869209 119.92887744]"
"[ 29.94735111   9.98780256 109.91701267 119.97684845  19.97161063
 359.88730131  99.86968289  29.95966585  79.92966216   9.97958857]"
"[ 49.94856173 199.91815186  29.96119807  59.96522662 229.87875658
  69.96498248  69.95126813  79.97855005  79.97473579  29.97823177]"
"[ 59.95244059   9.98620876 169.9398058  109.93715555 149.90394556
 129.91538808  59.96209557  29.97859786 169.94946336  29.9812204 ]"
"[ 19.96815171  69.95966509  19.97217906  89.89813356  29.98059207
  49.95779549 189.95426261  39.97353742  89.95278159  39.95479482]"
