rewardsSnapshot0
"[49.97692404 49.97572516 19.99167286 ... 39.96063305 19.98129174
 19.99085238]"
"[179.94463103  89.92561837  59.97943264 ... 179.89167151  39.97601194
  89.95951387]"
"[ 89.91399689  49.92898605  49.95613032 ...  89.91645227   9.98521663
 139.95733615]"
"[ 39.96681155   9.98269706  59.93798192 ... 119.9509864   29.97881876
  19.96525093]"
"[ 59.9315723   59.92156072 309.91719899 ... 109.94199824   9.98159749
 249.79785872]"
"[ 69.97362039  69.91666662  29.96419424 ... 109.93429554  99.93332377
  69.96064831]"
"[ 49.962692   309.88804555  59.92616804 ... 249.90099908  69.94407914
 589.72995222]"
"[ 49.93838872 139.85552736  49.95202158 ... 299.8522411  259.84444509
  29.96020365]"
"[ 69.92419801 129.96945536 189.79001127 ...  39.97198466 519.77429551
 449.7579385 ]"
