rewardsSnapshot0
"[39.96574629 29.96161799 39.97535642 ... 69.97343415 29.97451641
 69.96834532]"
"[ 49.97325872  29.96640468  79.95642339 ...   9.98434766 109.97155673
  39.97540574]"
"[ 19.98154841  19.98103122 139.94479316 ... 109.9473624   79.94717159
 129.95293785]"
"[  9.98418924   9.98362699 129.88480707 ...  29.98915824 109.95479832
  89.96305556]"
"[19.97076105 19.98644131 49.95686061 ... 29.98305728 39.97459476
 89.97326732]"
"[ 39.96313211 189.96247076 119.849354   ...  49.97941398  39.95976083
 119.92929196]"
"[ 89.97181399   9.98365629 209.95525499 ...   9.99025378  19.96969811
  69.95383193]"
"[179.96561667  39.97016499   9.98125509 ...  79.96750251  19.97665751
 119.95091411]"
"[ 39.97468396  79.96054088  79.95544537 ...  79.91969051 449.73203241
  79.9112811 ]"
"[  9.98426313  79.96773863  19.97365381 ... 109.95512657  59.96708463
   0.        ]"
"[ 89.88612801  59.98645024  99.8870222  ... 119.87733279  79.94730007
 149.96271523]"
"[279.81207058  69.97706309 119.89815145 ...   9.98685078 229.92170161
 119.95277891]"
"[179.93905104  89.95257588  19.98161028 ... 169.93943291  19.98065102
  49.94937124]"
"[ 19.98253314 139.95518893  89.95189325 ...   9.97926009 119.89167829
 109.9538197 ]"
"[  9.98497293  89.94211284 139.87860431 ...  19.98127931  39.94777336
  49.94024542]"
"[19.97129327 69.95337528 49.93970534 ... 99.92436593 19.97237945
 39.96628143]"
"[79.97034712 29.96035763 99.96234914 ... 59.92257676 59.93951493
 49.95901916]"
"[ 39.96196642 169.9522115   59.9592575  ...  39.94575702   9.9826987
 169.92187643]"
"[139.92266706 129.9602307  119.91637569 ... 119.91717844  29.96454193
  29.97040061]"
"[29.97286691  9.9808149  19.97040085 ... 19.96975007 19.96894872
 79.96455232]"
"[ 0.         29.96387913 39.97169391 ... 29.96338341 69.95602156
  9.98802592]"
"[  9.98612501 149.92205732  89.9601236  ... 199.90505765  19.98410549
   9.97980695]"
"[ 79.95650096  79.92761477  29.96087179 ...  19.96181039  19.98555523
 139.94222208]"
"[19.964766   49.96877365 59.96315065 ...  9.9810272   0.
  0.        ]"
"[  0.          39.96069999 139.85717749 ...  29.95930102  69.95320688
  19.97186772]"
"[ 29.96436423  69.9590019   59.95743602 ... 219.77621458   9.98906064
  29.96540557]"
"[ 59.97734424  39.94498629 189.93992572 ... 179.86209623  79.93447712
 219.88865127]"
"[159.87840297  69.97787177  89.92440395 ...  39.96883655  79.98099278
  59.97495972]"
"[ 49.96322921  49.95722655  19.96564813 ... 119.92695547   9.98893495
 139.91266824]"
"[ 69.96239062 249.78999765  79.95099688 ...  39.94570259 119.96482955
  49.96465165]"
