nSubIter0
114
1
1
1
1
1
346
154
1
1
1
66
6
23
21
24
1
1
46
294
155
331
483
501
110
407
240
404
296
1
1
1
1
1
1
1
122
1
1
181
161
179
199
92
119
173
1
111
212
1
56
196
57
44
101
69
14
380
47
294
7
27
53
86
351
42
49
1
17
40
1
1
31
52
1
132
15
1
1
65
29
1
35
172
51
2
43
38
1
1
19
374
185
1
78
1
132
1
1
1
0
0
0
0
0
0
0
0
0
0
