rewardsSnapshot0
"[ 9.98347986 89.93937308 89.95469316 ... 89.93911248 49.98194311
 19.96893626]"
"[  0.         119.94323154  79.96287307 ...  39.96517767  79.90637911
  89.9197145 ]"
"[ 69.93699186 159.91506584  39.96110132 ...  39.95346679  29.95147679
  49.95086307]"
"[239.87067564 139.85736969 259.8435836  ...  79.87504519  89.91471581
 119.89751497]"
"[79.93419079 89.94588231 29.94788287 ... 29.96513924 99.92202819
 89.91888612]"
"[ 49.97096049 309.89665344  99.96455996 ... 349.89816692 249.79662592
  29.97110131]"
"[309.90221737 129.84645962 369.80610546 ... 239.90136767 539.79315032
  29.95947117]"
"[439.80943216 509.71231867  29.95887762 ... 369.68943178  29.97243639
  59.94695759]"
"[ 59.92493565 509.7588501  199.88503039 ... 539.66357621 409.73830218
 299.85932775]"
