MaxReturn,TransfBits,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,Entropy,AveragePolicyStd,Perplexity,ExplainedVariance,AverageReturn
999.8453405446766,100960,7,10,423.17475673307155,119.83998982414505,311.576911087527,1.3606911458108826,0.9434165292092057,3.8988870702603036,0.0481954180006019,595.4844140711388
999.7710420634348,201920,4,20,633.7491535385722,999.5171811893634,0.09849065605690797,1.3044653459699307,0.8918358506828598,3.6857179828475606,0.9468832787282436,999.6846669203239
999.8760892008247,302880,4,30,633.7987554848094,999.6015109788353,0.0976118420277552,1.2682200024604773,0.8600897534149402,3.554519891297407,0.9999992545476789,999.7482629114012
999.818406159311,403840,4,40,633.8217537152893,999.7036646563432,0.04760132895580099,1.2276206593392656,0.8258700239254233,3.413098942306489,0.9999994052851262,999.7739179607948
999.8881678313918,504800,4,49,633.8664299131669,999.8126521929934,0.03559285833607603,1.2251353003386989,0.8238199890197707,3.4046266987748544,0.9999994877136203,999.8521053217205
